municipio,participacao
Paramoti,0.00123
Pedra Branca,0.00433
Penaforte,0.00136
Pentecoste,0.00538
Pereiro,0.00622
Pindoretama,0.00305
Piquet Carneiro,0.0018
Pires Ferreira,0.00093
Poranga,0.00121
Porteiras,0.00207
Potengi,0.00123
Potiretama,0.00107
Quiterianópolis,0.00205
Quixadá,0.01232
Quixelô,0.00221
Quixeramobim,0.01556
Quixeré,0.00707
Redenção,0.00455
Reriutaba,0.00212
Russas,0.01286
Saboeiro,0.00188
Salitre,0.00177
Santana do Acaraú,0.00311
Santana do Cariri,0.00177
Santa Quitéria,0.00703
São Benedito,0.00696
São Gonçalo do Amarante,0.0958
São João do Jaguaribe,0.0012
São Luís do Curu,0.00148
Senador Pompeu,0.00391
Senador Sá,0.0007
Sobral,0.05987
Solonópole,0.00337
